epoch,train_loss,test_loss,train_acc,test_acc
0,2.2701974569956462,2.157432145309448,0.24428333333333332,0.316
1,2.0174624244689943,1.8865637353897096,0.5103833333333333,0.6393
2,1.8531561265945435,1.8154132038116455,0.6535,0.6694
3,1.8082804442723592,1.7870671504974365,0.6723333333333333,0.6875
4,1.7816570528666178,1.7621275827407836,0.70175,0.7259
5,1.7556227129618327,1.7361528770446777,0.7389,0.7542
6,1.7320737708409628,1.716987880706787,0.7596833333333334,0.7687
7,1.7161741190592448,1.7081221307754517,0.7696333333333333,0.7733
8,1.7059195234298705,1.696994020843506,0.7768166666666667,0.7808
9,1.6979745177586874,1.6931434715270997,0.7823,0.7833
10,1.6930940061569213,1.687110892868042,0.7845833333333333,0.787
11,1.6881432466506958,1.683162784576416,0.7875333333333333,0.7886
12,1.6839103624979654,1.680707741355896,0.79055,0.79
13,1.6809433184305826,1.6774455017089844,0.7935666666666666,0.7922
14,1.6776634236653645,1.6747687978744508,0.7958833333333334,0.7954
15,1.6750235404332479,1.6743129318237304,0.7975666666666666,0.7944
16,1.673824824587504,1.6716515766143798,0.7978833333333334,0.7976
17,1.6714412274678547,1.670655080986023,0.8001333333333334,0.7987
18,1.6700382282892863,1.6686310338974,0.8008166666666666,0.8005
19,1.6680895322799683,1.6672717866897584,0.8025833333333333,0.802
20,1.667422707939148,1.6660798767089844,0.80275,0.8031
21,1.6658668525695801,1.6650486139297485,0.80385,0.8032
22,1.6644987144470216,1.66441182346344,0.8052833333333334,0.8035
23,1.6629949749628703,1.6636605894088745,0.8074333333333333,0.8039
24,1.6623456311543783,1.6627776943206787,0.8077666666666666,0.8047
25,1.6609965037027994,1.6629089637756347,0.8078,0.8051
26,1.6597984626134237,1.6613441709518433,0.8097833333333333,0.8063
27,1.6598416306177775,1.6603974225997924,0.8088833333333333,0.8074
28,1.6580835547765096,1.6605436016082764,0.8106166666666667,0.8073
29,1.6577125961303711,1.6596683849334717,0.8115833333333333,0.8065
30,1.656905085436503,1.6590865728378297,0.8122333333333334,0.8073
31,1.6561028867085774,1.6583804389953614,0.8123333333333334,0.8086
32,1.654959809621175,1.6576405662536622,0.8132333333333334,0.8087
33,1.6544087809880574,1.6577354448318482,0.81405,0.8086
34,1.6537118110656739,1.657373373413086,0.8145833333333333,0.8085
35,1.6527920265197753,1.6560212469100952,0.8149333333333333,0.8101
36,1.6522474866231283,1.655809281349182,0.8162166666666667,0.8095
37,1.651625510406494,1.6555537225723267,0.8162833333333334,0.8098
38,1.6511766248703004,1.6551284955978394,0.81655,0.8103
39,1.6508685537338257,1.6543914762496947,0.8162166666666667,0.811
40,1.6501029458999634,1.6552946159362794,0.8180166666666666,0.8105
41,1.649308321317037,1.654330529975891,0.8178833333333333,0.811
42,1.6490549123764038,1.6531938932418824,0.8184333333333333,0.813
43,1.6481772413253784,1.6531179958343505,0.81895,0.8115
44,1.6485226068496703,1.6524238616943359,0.8188666666666666,0.8123
45,1.6477919727961223,1.6517234294891356,0.81975,0.8138
46,1.6472586738586426,1.6516587999343872,0.81955,0.8139
47,1.6474199829101563,1.6508833139419556,0.8194833333333333,0.8148
48,1.6460296511967978,1.6512387218475342,0.8211833333333334,0.8128
49,1.646009485689799,1.6505729431152343,0.8209333333333333,0.8145
50,1.6456787972132365,1.650775956916809,0.8211,0.8147
51,1.6453403162638347,1.65008981590271,0.8215166666666667,0.8148
52,1.644067560895284,1.6493400470733643,0.8225666666666667,0.8168
53,1.644660044670105,1.6494679794311524,0.8218,0.8162
54,1.6438463787714641,1.649497554397583,0.8228,0.8155
55,1.6441578535079957,1.648960362815857,0.8224166666666667,0.8158
56,1.643061640103658,1.6486475395202638,0.8236,0.8162
57,1.642614914449056,1.6488092414855957,0.8245833333333333,0.8161
58,1.6428096165339152,1.649542956161499,0.82375,0.8138
59,1.6424010592142742,1.647790611076355,0.8244666666666667,0.8167
60,1.6421435836156208,1.6478338376998902,0.8247666666666666,0.8172
61,1.6411970273335774,1.647320353126526,0.8253166666666667,0.8178
62,1.6415703152338663,1.646679085922241,0.8247333333333333,0.8189
63,1.6408695810317993,1.6469263662338256,0.8259166666666666,0.8177
64,1.6403379552205404,1.6466979057312012,0.826,0.8181
65,1.6403677403767905,1.646266052055359,0.8264833333333333,0.8178
66,1.639647520383199,1.646596600151062,0.82695,0.818
67,1.6391943873723347,1.6458659324645997,0.8274,0.8188
68,1.6397154465357462,1.6453730169296266,0.82685,0.8194
69,1.639303436978658,1.645225045967102,0.8276666666666667,0.8192
70,1.6383529425938925,1.645480302619934,0.8284,0.8183
71,1.6384646739323934,1.6461577352523804,0.8279833333333333,0.8173
72,1.6384671639124553,1.6445066871643066,0.8274166666666667,0.8203
73,1.6375567895889283,1.645197883605957,0.8282,0.8188
74,1.6373914843877158,1.6443155296325684,0.8289833333333333,0.8197
75,1.6368486691157023,1.6441771074295044,0.8296333333333333,0.8195
76,1.6368590927124023,1.644258957862854,0.8296,0.8196
77,1.6366253260294596,1.6433310277938842,0.8293,0.821
78,1.6365900472005208,1.644084335899353,0.82945,0.8196
79,1.6362169768651327,1.6436909158706665,0.8300166666666666,0.8204
80,1.6362213876724243,1.6434221300125123,0.8301,0.8213
81,1.6360293597539266,1.643047653388977,0.8305833333333333,0.8211
82,1.6357943331400553,1.6431357418060302,0.8301166666666666,0.8214
83,1.6348711890538534,1.6425418985366822,0.8314333333333334,0.8218
84,1.6351090136210125,1.6422403871536255,0.8304,0.8218
85,1.6345100502649943,1.6421031145095826,0.8314333333333334,0.8218
86,1.6347631255467732,1.641996962738037,0.8312333333333334,0.8222
87,1.635284518623352,1.6430486368179322,0.8303333333333334,0.8204
88,1.634214340209961,1.642373349571228,0.8316333333333333,0.8206
89,1.6337295455932617,1.6415639087677,0.8328,0.8222
90,1.6335563586552937,1.6414413106918335,0.8327833333333333,0.8237
91,1.6330730425516764,1.641927409362793,0.83295,0.8216
92,1.6331033102035521,1.6437443731307984,0.8331,0.8185
93,1.6327621770222982,1.6409259063720703,0.83355,0.8239
94,1.633018369293213,1.640745011138916,0.8327166666666667,0.8232
95,1.6324840209960938,1.6412069087982177,0.8335166666666667,0.8222
96,1.6323182322820027,1.6409340614318848,0.8334833333333334,0.8218
97,1.632345474433899,1.640500390625,0.8333833333333334,0.8231
98,1.6323286915461221,1.6402414396286011,0.83385,0.8238
99,1.6313351808547973,1.6413042530059814,0.83485,0.822
